codigo;populacao;densidade_pop;idh;pib
3533403;59371;689.48;0.791;48867.19
3533502;40680;39.28;0.753;31255.3
3533601;7386;19.57;0.746;64231.96
3533700;4287;13.86;0.717;22459.31
3533809;2522;13.49;0.73;34129.59
3533908;54406;62.32;0.773;35365.77
3534005;4339;16.03;0.738;47749.58
3534104;6487;27.89;0.77;15119.42
3534203;6935;22.87;0.767;67015.87
3534302;43687;136.34;0.78;37186.74
3534401;696850;10264.8;0.776;106841.78
3534500;2602;11.46;0.749;32076.14
3534609;32754;124.47;0.762;29901.68
3534708;112711;347.78;0.778;24968.65
3534757;10177;29.1;0.77;43578.73
3534807;8503;29.15;0.692;11853.79
3534906;14130;39.07;0.725;14216.64
3535002;12786;15.89;0.732;45615.66
3535101;13058;133.14;0.722;8744.25
3535200;9340;30.02;0.753;19622.88
3535309;22168;38.67;0.746;27670.81
3535408;15690;40.93;0.722;16381.45
3535507;45455;42.22;0.762;26291.19
3535606;18180;21.48;0.719;14042.3
3535705;6411;37.85;0.749;36932.83
3535804;19993;17.48;0.717;32957.63
3535903;4061;27.16;0.732;20391.86
3536000;10980;29.65;0.737;26859.95
3536109;6360;26.59;0.727;44771.78
3536208;19570;51.34;0.736;25956.61
3536257;2153;24.04;0.721;17352.37
3536307;14529;21.56;0.73;62536.82
3536406;7274;16.97;0.711;81400.91
3536505;106776;592.17;0.795;314637.69
3536570;1832;6.93;0.718;16802.89
3536604;8930;11.63;0.725;25430.72
3536703;46251;56.92;0.739;36941.61
3536802;6075;36.45;0.677;12135.78
3536901;2508;9.83;0.742;21793.53
3537008;16676;22.03;0.715;50159.26
3537107;47361;382.7;0.769;24386.64
3537156;3085;19.28;0.774;33024.83
3537206;11240;15.22;0.696;12339.71
3537305;63047;82.31;0.759;27010.39
3537404;25660;25.5;0.766;31802.91
3537503;8560;33.38;0.736;18088.66
3537602;67548;184.4;0.749;18066.2
3537701;5922;22.75;0.732;17357.2
3537800;55149;69.82;0.716;21416.61
3537909;28963;38.77;0.69;20842.71
3538006;166475;201.39;0.773;41328.58
3538105;16877;81.37;0.737;18525.51
3538204;15021;84.81;0.725;16151.3
3538303;3685;7.33;0.711;15107.21
3538501;13742;80.16;0.757;10564.93
3538600;27140;65.15;0.739;16537.87
3538709;400949;264.47;0.785;54656.57
3538808;29741;56.44;0.758;20256.69
3538907;25259;27.55;0.749;15954.78
3539004;11362;49.3;0.756;22339.34
3539103;18604;144.98;0.727;14980.96
3539202;27295;51.66;0.776;26952.95
3539301;75930;96.38;0.801;32978.62
3539400;13503;30;0.779;14610.61
3539509;39349;81.99;0.723;26673.78
3539608;5167;15.38;0.719;54427.24
3539707;3521;9.77;0.719;22182.07
3539806;116530;6141.05;0.771;37885.61
3539905;6004;40.4;0.766;20742.68
3540002;21851;25.46;0.786;49748.23
3540101;3432;18.99;0.755;21493.65
3540200;49047;112.94;0.725;22094.38
3540259;4580;19.38;0.702;16578.68
3540309;2577;11.58;0.732;58265.54
3540408;4186;13.37;0.714;21651.45
3540507;9779;31.34;0.703;18076.57
3540606;52785;87.83;0.758;31387.01
3540705;55787;209.88;0.751;31674.93
3540754;24143;436.2;0.697;8200.44
3540804;17201;45.12;0.747;30081.16
3540853;3971;45.48;0.696;7309.6
3540903;21110;103.82;0.733;36517.85
3541000;319146;1781.87;0.754;20285.44
3541059;5204;26.26;0.701;19929.08
3541109;4108;14.36;0.735;18302.47
3541208;13190;18.12;0.757;18773.35
3541307;44006;32.79;0.75;23820.74
3541406;227072;368.89;0.806;33101.42
3541505;39448;50.1;0.763;17767.62
3541604;40027;45.78;0.743;71619.02
3541653;3753;15.73;0.678;24957.37
3541703;14006;19.68;0.738;32791.62
3541802;3351;12.01;0.715;133036.07
3541901;13228;45.27;0.722;18624.79
3542008;6587;18.79;0.732;23500.04
3542107;9050;70.8;0.745;33913.11
3542206;29688;18.14;0.751;38668.19
3542305;3863;12.52;0.657;13717.38
3542404;20124;69.77;0.768;30809.19
3542503;9399;17.83;0.728;14651.05
3542602;56249;75.11;0.754;32358.84
3542701;7504;26.8;0.705;24005.35
3542800;3351;10;0.698;14880.43
3542909;13137;25.73;0.712;17422.7
3543006;16684;26.19;0.639;23377.9
3543105;4682;28.81;0.711;24406.16
3543204;4542;21.83;0.747;28597.68
3543238;2227;11.14;0.721;17800.82
3543253;7666;22.26;0.705;21635.97
3543303;122607;1140.73;0.784;24947.07
3543402;694534;928.92;0.8;44463.8
3543501;5607;15.96;0.664;10120.74
3543600;3618;21.14;0.74;23947.27
3543709;10786;32.96;0.734;16111.67
3543808;10003;27.73;0.723;21669.79
3543907;204797;373.69;0.803;43966.89
3544004;34704;130.16;0.759;33306.82
3544103;50241;1210.04;0.749;11831.25
3544202;12342;16.7;0.703;17148.57
3544251;17015;26.51;0.764;123171.63
3544301;10621;73.47;0.737;25823.08
3544400;3093;11.52;0.721;18854.87
3544509;3125;11.78;0.759;22035.61
3544608;5564;16.78;0.728;21452.92
3544707;2435;16.2;0.73;16684.57
3544806;6253;17.67;0.751;21449.82
3544905;11779;34.58;0.772;27770.45
3545001;17022;36.79;0.732;11669.96
3545100;5262;27.96;0.719;13440.12
3545159;8176;70.78;0.791;24936.83
3545209;117561;792.13;0.78;53864.05
3545308;44972;143.02;0.729;28731.77
3545407;9297;46.64;0.704;23400.79
3545506;4248;8.13;0.709;143674.04
3545605;15397;43.32;0.76;19626.61
3545704;5993;20.98;0.728;31782.25
3545803;192536;664.49;0.781;26590.27
3546009;14717;50.56;0.735;17224.14
3546108;2118;11.36;0.733;24072.47
3546207;4461;26.66;0.79;30071.5
3546256;2124;13.19;0.743;24046.86
3546306;33975;101.35;0.728;13688.36
3546405;47395;39.44;0.762;42021.86
3546504;5611;41.42;0.738;15710.17
3546603;32076;141.81;0.784;30257.7
3546702;26403;220.1;0.737;51604.64
3546801;56792;138.87;0.738;22328.98
3546900;8779;53.55;0.737;11491.33
3547007;6107;21.43;0.686;19060.12
3547106;2935;16.96;0.739;20832.47
3547205;1507;12.6;0.773;21581.49
3547304;136517;604.74;0.814;65644.99
3547403;2510;12.1;0.761;21852.83
3547502;27514;35.11;0.775;22579.86
3547601;26322;82.69;0.77;28196.33
3547650;1539;18.23;0.772;20871.31
3547700;20889;37.06;0.753;18873.78
3547809;716109;3848.01;0.815;36249.85
3547908;6880;20.32;0.702;22094.3
3548005;23085;134.09;0.702;39295.21
3548054;8356;5.83;0.757;38820.77
3548104;5968;54.05;0.714;25020.88
3548203;6794;48.76;0.706;14222.23
3548302;3086;29.68;0.732;10971.88
3548401;4736;33.44;0.74;13067.33
3548500;432957;1494.26;0.84;50544.73
3548609;10862;41.37;0.72;16414.83
3548708;833240;1869.36;0.805;51239.64
3548807;160275;9736.03;0.862;83656.3
3548906;249415;195.15;0.805;41281.81
3549003;2826;36.94;0.723;16403.07
3549102;90637;161.96;0.797;30716.49
3549201;2574;19.84;0.72;13641.75
3549250;1912;9.97;0.748;16045.26
3549300;2111;17.86;0.75;22693.37
3549409;51447;113.28;0.762;28983.75
3549508;8895;30.35;0.693;17042.14
3549607;4151;7.14;0.684;11594.27
3549706;54763;123.81;0.774;30971.46
3549805;456245;945.12;0.797;35230.47
3549904;713943;572.96;0.807;53615.25
3549953;15667;74.99;0.728;12812.82
3550001;10684;16.84;0.697;13396.68
3550100;40781;58.92;0.744;27514.47
3550209;32859;33.8;0.71;19753.6
3550308;12176866;7398.26;0.805;57071.43
3550407;35318;51.98;0.755;19600.54
3550506;7636;9.84;0.703;25581.29
3550605;89943;256.82;0.768;28920.64
3550704;87596;185;0.772;41724.54
3550803;12205;47.94;0.701;25448.6
3550902;15257;23.24;0.766;29386.95
3551009;363173;2247.88;0.768;14096.68
3551108;10177;25.6;0.707;13396.77
3551207;3646;25.58;0.688;17169.58
3551306;3470;18.03;0.773;253147.24
3551405;14334;39.75;0.686;10651.27
3551504;44555;308.44;0.729;20392.27
3551603;29001;129.52;0.767;23411.1
3551702;124453;273.22;0.761;42168.34
3551801;12884;12.24;0.673;28053.09
3551900;17328;110.38;0.715;36072.58
3552007;6264;13.96;0.678;10192
3552106;40648;81.7;0.729;18734.78
3552205;671186;1304.18;0.798;46888.51
3552304;7708;12.57;0.747;37772.91
3552403;278571;1572.04;0.762;44750.01
3552502;294638;1272.93;0.765;32871.69
3552551;3911;10.24;0.699;81964.79
3552601;12328;32.88;0.735;21014.42
3552700;16345;39.74;0.704;14725.46
3552809;285570;11994.31;0.769;30259.41
3552908;6240;9.41;0.723;21170.25
3553005;13569;74.51;0.709;14667.4
3553104;6268;55.27;0.71;12836.38
3553203;5568;41.12;0.76;17950.69
3553302;23182;39.88;0.731;21057.44
3553401;25830;32.25;0.748;46937.07
3553500;7850;10.61;0.681;18043.86
3553609;12970;57.23;0.751;22252.66
3553658;2810;50.58;0.759;14072.9
3553708;56984;90.95;0.748;24057.32
3553807;23180;49.71;0.701;26924.91
3553856;5792;22.22;0.679;35787.04
3553906;7395;32.78;0.726;13465.76
3553955;14812;42.5;0.753;78512.45
3554003;120533;205.03;0.752;31158.75
3554102;311854;445.98;0.8;46320.15
3554201;4574;16.23;0.668;18124.58
3554300;23019;13.74;0.741;47215.08
3554409;9302;38.39;0.749;14063.82
3554508;41622;91.09;0.778;42709.38
3554607;2663;13.45;0.71;18125.32
3554656;2401;31.59;0.714;9561.64
3554706;9963;29.59;0.744;20207.05
3554755;1709;24.35;0.722;25831.15
3554805;46642;214.17;0.785;14456.43
3554904;5781;35.9;0.753;16299.91
3554953;6808;46.8;0.728;16636.12
3555000;65477;100.99;0.771;25424.12
3555109;15404;58.16;0.769;17118.53
3555208;2012;12.6;0.751;19411.11
3555307;1759;13.37;0.736;29157.67
3555356;6216;25.23;0.7;73629.22
3555406;89747;108.87;0.751;20447.3
3555505;4754;15.68;0.727;19503.65
3555604;10068;37.51;0.721;31118.59
3555703;1823;20.21;0.749;25374.17
3555802;9108;42.29;0.746;19907.64
3555901;1177;8.51;0.712;39012.15
3556008;13727;39.27;0.745;24917.4
3556107;13115;73.72;0.735;26902.92
3556206;127123;718.7;0.819;41711.77
3556305;26130;26.33;0.725;45386.68
3556354;10378;61.71;0.699;10310.74
3556404;42573;146.94;0.737;21192.61
3556453;51702;1012.1;0.77;35231.35
3556503;120572;3049.14;0.759;20044.5
3556602;10864;43.41;0.754;11228.93
3556701;77308;779.51;0.817;106027
3556800;18775;79.44;0.739;15769.82
3556909;8626;72.5;0.744;42563.46
3556958;1834;34.95;0.725;17512.27
3557006;121331;591.04;0.767;36917.03
3557105;93736;201.15;0.79;29120.96
3557154;2684;7.32;0.729;29149.67
3557204;12418;64.4;0.729;16066.88
3557303;11198;135.35;0.74;21331.37
